Exercise 10
* List all of the person names born between 8PM and 9PM but not in the month of February

mysql> SELECT firstName, lastName, birthday FROM Entry WHERE MONTH(birthday) !=2 AND TIME(birthday) >= "20:00:00" AND TIME(birthday) <= "21:00:00";
+-------------+------------+---------------------+
| firstName   | lastName   | birthday            |
+-------------+------------+---------------------+
| Ima         | Manning    | 1989-03-10 20:45:05 |
| Ivana       | Wong       | 1973-03-30 20:52:45 |
| Jason       | Medina     | 1956-11-23 20:33:40 |
| Elijah      | Espinoza   | 1960-03-16 20:03:52 |
| Malachi     | Hamilton   | 1984-04-24 20:48:15 |
| Harrison    | English    | 1998-08-22 20:10:21 |
| Wayne       | Gardner    | 1990-07-14 20:13:17 |
| Devin       | Bishop     | 1962-01-19 20:45:35 |
| Hayes       | Johnson    | 1949-03-09 20:39:39 |
| Macy        | Preston    | 1963-06-22 20:30:09 |
| Justina     | Frank      | 1985-05-12 20:01:34 |
| Willa       | Henson     | 1962-11-07 20:08:58 |
| Elton       | Head       | 1966-10-19 20:26:28 |
| Ross        | Schroeder  | 1946-10-02 20:51:20 |
| Joan        | Reese      | 1979-09-24 20:56:56 |
| Kylynn      | Baxter     | 1950-08-10 20:23:47 |
| Gage        | Mitchell   | 1964-08-05 20:10:04 |
| Avye        | Potts      | 1984-10-17 20:03:30 |
| Lynn        | Saunders   | 1986-12-23 20:11:06 |
| Fleur       | Guthrie    | 1981-09-24 20:05:13 |
| Branden     | Fry        | 1952-05-18 20:26:05 |
| Nathaniel   | Humphrey   | 1978-09-28 20:08:29 |
| Hanna       | Melendez   | 1955-06-01 20:27:54 |
| Harrison    | Odom       | 1979-01-29 20:34:48 |
| Conan       | Mullen     | 1961-09-15 20:37:29 |
| Gisela      | Mooney     | 1970-03-19 20:11:29 |
| Fleur       | Lancaster  | 1965-10-28 20:07:12 |
| Lois        | Roberson   | 2000-03-28 20:50:47 |
| Reuben      | Henderson  | 1969-06-15 20:00:50 |
| Aladdin     | Adkins     | 1967-12-22 20:04:23 |
| Stella      | Puckett    | 1954-07-26 20:41:53 |
| Kibo        | Alston     | 1949-03-06 20:11:11 |
| Marsden     | Richardson | 1973-07-07 20:24:30 |
| Ariana      | Ray        | 1986-11-04 20:53:03 |
| Kalia       | Wade       | 1955-09-08 20:39:45 |
| Stacy       | Munoz      | 1964-07-02 20:11:29 |
| Marah       | Savage     | 1970-05-10 20:01:40 |
| Declan      | Parks      | 1970-06-23 20:40:03 |
