Exercise 12
* List 100 phone numbers in separated parts: country code, area code and line number

mysql> SELECT content AS fullPhoneNumber,
content LIKE "1-%" OR NULL AS countryCode,
SUBSTRING_INDEX(SUBSTRING_INDEX(content, "-", 2), "-", -1) AS areaCode,
RIGHT(content, 8) AS lineNumber FROM Phone WHERE content NOT LIKE "%(%"
UNION ALL
SELECT content AS fullPhoneNumber,
content LIKE "1-%" OR NULL AS countryCode,
SUBSTRING_INDEX(SUBSTRING_INDEX(content, "(", -1), ")", 1) AS areaCode,
RIGHT(content, 8) AS lineNumber FROM Phone WHERE content LIKE "%(%" ORDER BY countryCode DESC LIMIT 100;
+-----------------+-------------+----------+------------+
| fullPhoneNumber | countryCode | areaCode | lineNumber |
+-----------------+-------------+----------+------------+
| 1-811-990-2618  |           1 | 811      | 990-2618   |
| 1-200-915-5809  |           1 | 200      | 915-5809   |
| 1-245-342-8807  |           1 | 245      | 342-8807   |
| 1-258-765-9937  |           1 | 258      | 765-9937   |
| 1-257-867-0566  |           1 | 257      | 867-0566   |
| 1-687-372-5982  |           1 | 687      | 372-5982   |
| 1-254-219-1949  |           1 | 254      | 219-1949   |
| 1-380-554-5763  |           1 | 380      | 554-5763   |
| 1-525-831-2277  |           1 | 525      | 831-2277   |
| 1-295-224-3944  |           1 | 295      | 224-3944   |
| 1-432-441-4780  |           1 | 432      | 441-4780   |
| 1-602-261-0181  |           1 | 602      | 261-0181   |
| 1-576-879-5834  |           1 | 576      | 879-5834   |
| 1-716-957-3905  |           1 | 716      | 957-3905   |
| 1-338-174-4888  |           1 | 338      | 174-4888   |
| 1-395-184-0701  |           1 | 395      | 184-0701   |
| 1-351-618-2388  |           1 | 351      | 618-2388   |
| 1-425-733-8123  |           1 | 425      | 733-8123   |
| 1-780-716-6922  |           1 | 780      | 716-6922   |
| 1-410-492-3992  |           1 | 410      | 492-3992   |
| 1-990-136-5147  |           1 | 990      | 136-5147   |
| 1-418-921-5849  |           1 | 418      | 921-5849   |
| 1-212-228-3810  |           1 | 212      | 228-3810   |
| 1-436-895-8796  |           1 | 436      | 895-8796   |
| 1-649-149-4033  |           1 | 649      | 149-4033   |
| 1-114-563-2897  |           1 | 114      | 563-2897   |
| 1-665-685-5382  |           1 | 665      | 685-5382   |
| 1-676-607-1551  |           1 | 676      | 607-1551   |
| 1-824-853-9469  |           1 | 824      | 853-9469   |
| 1-307-836-1109  |           1 | 307      | 836-1109   |
| 1-527-448-9647  |           1 | 527      | 448-9647   |
| 1-707-888-2787  |           1 | 707      | 888-2787   |
| 1-164-741-1817  |           1 | 164      | 741-1817   |
| 1-130-457-3860  |           1 | 130      | 457-3860   |
| 1-413-597-6316  |           1 | 413      | 597-6316   |
| 1-793-953-6677  |           1 | 793      | 953-6677   |
| 1-222-732-9450  |           1 | 222      | 732-9450   |
| 1-885-383-3316  |           1 | 885      | 383-3316   |
| 1-769-175-6037  |           1 | 769      | 175-6037   |
| 1-585-936-6793  |           1 | 585      | 936-6793   |
| 1-115-604-8551  |           1 | 115      | 604-8551   |
| 1-823-223-5247  |           1 | 823      | 223-5247   |
| 1-889-800-9270  |           1 | 889      | 800-9270   |
| 1-986-619-9252  |           1 | 986      | 619-9252   |
| 1-880-866-0045  |           1 | 880      | 866-0045   |
| 1-581-724-8616  |           1 | 581      | 724-8616   |
| 1-976-407-3722  |           1 | 976      | 407-3722   |
| 1-778-730-0178  |           1 | 778      | 730-0178   |
| 1-214-443-0290  |           1 | 214      | 443-0290   |
| 1-667-593-2501  |           1 | 667      | 593-2501   |
| 1-155-560-6351  |           1 | 155      | 560-6351   |
| 1-146-826-8368  |           1 | 146      | 826-8368   |
| 1-296-113-0411  |           1 | 296      | 113-0411   |
| 1-928-234-9600  |           1 | 928      | 234-9600   |
| 1-355-658-9356  |           1 | 355      | 658-9356   |
| 1-941-735-6014  |           1 | 941      | 735-6014   |
| 1-150-167-8225  |           1 | 150      | 167-8225   |
| 1-336-193-1111  |           1 | 336      | 193-1111   |
| 1-924-707-1487  |           1 | 924      | 707-1487   |
| 1-933-986-6219  |           1 | 933      | 986-6219   |
| 1-406-473-2934  |           1 | 406      | 473-2934   |
| 1-303-638-4150  |           1 | 303      | 638-4150   |
| 1-304-301-0026  |           1 | 304      | 301-0026   |
| 1-428-478-1655  |           1 | 428      | 478-1655   |
| 1-372-257-8577  |           1 | 372      | 257-8577   |
| 1-380-623-5789  |           1 | 380      | 623-5789   |
| 1-200-560-7225  |           1 | 200      | 560-7225   |
| 1-765-240-6001  |           1 | 765      | 240-6001   |
| 1-588-524-1323  |           1 | 588      | 524-1323   |
| 1-126-595-8699  |           1 | 126      | 595-8699   |
| 1-217-977-2013  |           1 | 217      | 977-2013   |
| 1-569-464-7758  |           1 | 569      | 464-7758   |
| 1-464-411-9555  |           1 | 464      | 411-9555   |
| 1-632-746-8879  |           1 | 632      | 746-8879   |
| 1-199-864-5100  |           1 | 199      | 864-5100   |
| 1-938-382-4660  |           1 | 938      | 382-4660   |
| 1-116-157-3520  |           1 | 116      | 157-3520   |
| 1-481-326-7608  |           1 | 481      | 326-7608   |
| 1-287-915-4975  |           1 | 287      | 915-4975   |
| 1-781-983-4034  |           1 | 781      | 983-4034   |
| 1-526-858-8854  |           1 | 526      | 858-8854   |
| 1-230-850-6706  |           1 | 230      | 850-6706   |
| 1-733-279-6746  |           1 | 733      | 279-6746   |
| 1-206-495-1425  |           1 | 206      | 495-1425   |
| 1-748-169-1118  |           1 | 748      | 169-1118   |
| 1-514-561-3156  |           1 | 514      | 561-3156   |
| 1-230-221-1403  |           1 | 230      | 221-1403   |
| 1-153-744-4476  |           1 | 153      | 744-4476   |
| 1-272-146-5304  |           1 | 272      | 146-5304   |
| 1-874-317-2489  |           1 | 874      | 317-2489   |
| 1-854-220-8547  |           1 | 854      | 220-8547   |
| 1-650-808-7230  |           1 | 650      | 808-7230   |
| 1-507-991-8513  |           1 | 507      | 991-8513   |
| 1-506-139-6333  |           1 | 506      | 139-6333   |
| 1-340-435-0028  |           1 | 340      | 435-0028   |
| 1-924-830-4859  |           1 | 924      | 830-4859   |
| 1-358-224-0501  |           1 | 358      | 224-0501   |
| 1-375-412-4731  |           1 | 375      | 412-4731   |
| 1-830-179-3094  |           1 | 830      | 179-3094   |
