Exercise 14
* Reverse all fax phone numbers, keeping the phone numbers in a valid format
* List all of the new fax phone number values


mysql> SELECT content, subtype, REVERSE(content) FROM Phone WHERE subtype="fax";
+----------------+---------+------------------+
| content        | subtype | REVERSE(content) |
+----------------+---------+------------------+
| (170) 776-2226 | fax     | 6222-677 )071(   |
| (588) 653-2753 | fax     | 3572-356 )885(   |
| (401) 921-5802 | fax     | 2085-129 )104(   |
| (439) 275-5002 | fax     | 2005-572 )934(   |
| (553) 761-8526 | fax     | 6258-167 )355(   |
| (330) 317-3260 | fax     | 0623-713 )033(   |
| (793) 537-0227 | fax     | 7220-735 )397(   |
| (367) 706-0447 | fax     | 7440-607 )763(   |
| (620) 399-2377 | fax     | 7732-993 )026(   |
| (391) 520-2816 | fax     | 6182-025 )193(   |
| (688) 419-6102 | fax     | 2016-914 )886(   |
| (533) 316-9295 | fax     | 5929-613 )335(   |
| (462) 901-5262 | fax     | 2625-109 )264(   |
| (245) 422-5333 | fax     | 3335-224 )542(   |
| (882) 368-5510 | fax     | 0155-863 )288(   |
| (496) 403-4685 | fax     | 5864-304 )694(   |
| (398) 373-3241 | fax     | 1423-373 )893(   |
| (694) 793-5879 | fax     | 9785-397 )496(   |
| (348) 539-4214 | fax     | 4124-935 )843(   |
| (968) 455-4730 | fax     | 0374-554 )869(   |
| (666) 270-0985 | fax     | 5890-072 )666(   |
| (470) 382-8117 | fax     | 7118-283 )074(   |
| (305) 831-2727 | fax     | 7272-138 )503(   |
| (771) 386-8454 | fax     | 4548-683 )177(   |
| (667) 202-1942 | fax     | 2491-202 )766(   |
| (222) 852-5376 | fax     | 6735-258 )222(   |
| (414) 108-5268 | fax     | 8625-801 )414(   |
| (765) 337-8274 | fax     | 4728-733 )567(   |
| (903) 918-8276 | fax     | 6728-819 )309(   |
| (192) 744-4834 | fax     | 4384-447 )291(   |
| (174) 296-9438 | fax     | 8349-692 )471(   |
| (146) 421-3723 | fax     | 3273-124 )641(   |
| (235) 450-1097 | fax     | 7901-054 )532(   |
| (724) 629-4473 | fax     | 3744-926 )427(   |
| (400) 300-1367 | fax     | 7631-003 )004(   |
| (478) 295-4282 | fax     | 2824-592 )874(   |
| (493) 659-7972 | fax     | 2797-956 )394(   |
| (315) 470-4805 | fax     | 5084-074 )513(   |
| (581) 621-7876 | fax     | 6787-126 )185(   |
| (713) 546-0109 | fax     | 9010-645 )317(   |
| (830) 289-7538 | fax     | 8357-982 )038(   |
| (603) 738-0629 | fax     | 9260-837 )306(   |
| (273) 240-7024 | fax     | 4207-042 )372(   |
| (983) 146-2237 | fax     | 7322-641 )389(   |
| (207) 106-0679 | fax     | 9760-601 )702(   |
| (166) 117-9552 | fax     | 2559-711 )661(   |
| (746) 509-9183 | fax     | 3819-905 )647(   |
| (126) 125-0235 | fax     | 5320-521 )621(   |
| (131) 622-4959 | fax     | 9594-226 )131(   |
| (745) 386-2407 | fax     | 7042-683 )547(   |
| (400) 978-3461 | fax     | 1643-879 )004(   |
| (692) 825-0708 | fax     | 8070-528 )296(   |
| (640) 801-3027 | fax     | 7203-108 )046(   |
| (681) 343-9861 | fax     | 1689-343 )186(   |
| (610) 791-1498 | fax     | 8941-197 )016(   |
| (992) 756-8861 | fax     | 1688-657 )299(   |
| (256) 484-7687 | fax     | 7867-484 )652(   |
| (877) 708-2726 | fax     | 6272-807 )778(   |
| (507) 115-8914 | fax     | 4198-511 )705(   |
| (416) 633-8663 | fax     | 3668-336 )614(   |
| (311) 886-5901 | fax     | 1095-688 )113(   |
| (917) 641-0886 | fax     | 6880-146 )719(   |
| (666) 552-8944 | fax     | 4498-255 )666(   |
| (944) 576-4187 | fax     | 7814-675 )449(   |
| (414) 625-4719 | fax     | 9174-526 )414(   |
| (438) 939-2492 | fax     | 2942-939 )834(   |
| (591) 311-1715 | fax     | 5171-113 )195(   |
| (404) 516-2921 | fax     | 1292-615 )404(   |
| (362) 684-6499 | fax     | 9946-486 )263(   |
| (791) 855-0317 | fax     | 7130-558 )197(   |
| (726) 927-1194 | fax     | 4911-729 )627(   |
| (380) 664-4850 | fax     | 0584-466 )083(   |
| (482) 576-1652 | fax     | 2561-675 )284(   |
| (849) 764-2188 | fax     | 8812-467 )948(   |
| (361) 277-2009 | fax     | 9002-772 )163(   |
| (616) 255-8413 | fax     | 3148-552 )616(   |
| (739) 774-4843 | fax     | 3484-477 )937(   |
| (364) 527-7846 | fax     | 6487-725 )463(   |
| (907) 722-9971 | fax     | 1799-227 )709(   |
| (881) 949-6138 | fax     | 8316-949 )188(   |
| (368) 335-0611 | fax     | 1160-533 )863(   |
| (988) 756-1575 | fax     | 5751-657 )889(   |
| (301) 622-6628 | fax     | 8266-226 )103(   |
| (570) 297-9330 | fax     | 0339-792 )075(   |
| (890) 202-1165 | fax     | 5611-202 )098(   |
| (349) 736-6178 | fax     | 8716-637 )943(   |
| (897) 216-0242 | fax     | 2420-612 )798(   |
| (891) 357-6955 | fax     | 5596-753 )198(   |
| (214) 275-9113 | fax     | 3119-572 )412(   |
| (903) 961-4144 | fax     | 4414-169 )309(   |
| (979) 616-1501 | fax     | 1051-616 )979(   |
| (309) 775-2920 | fax     | 0292-577 )903(   |
| (277) 329-3432 | fax     | 2343-923 )772(   |
| (515) 650-5819 | fax     | 9185-056 )515(   |
| (118) 658-4784 | fax     | 4874-856 )811(   |
| (289) 730-7653 | fax     | 3567-037 )982(   |
| (220) 625-1423 | fax     | 3241-526 )022(   |
| (379) 698-3645 | fax     | 5463-896 )973(   |
| (305) 175-9444 | fax     | 4449-571 )503(   |
| (251) 580-6066 | fax     | 6606-085 )152(   |
| (846) 579-1637 | fax     | 7361-975 )648(   |
| (660) 991-8538 | fax     | 8358-199 )066(   |
| (841) 962-4607 | fax     | 7064-269 )148(   |
| (488) 927-4235 | fax     | 5324-729 )884(   |
| (390) 324-8748 | fax     | 8478-423 )093(   |
| (501) 120-0981 | fax     | 1890-021 )105(   |
