Exercise 9
* List all Account emails with AddressBook containing Phone numbers with a country code

mysql> SELECT Account.email AS accountEmail, Phone.content FROM Account JOIN AddressBook ON Account.id=AddressBook.accountId  JOIN Entry ON Entry.addressBookId=AddressBook.id JOIN Phone On Phone.entryId=Entry.id WHERE Phone.content LIKE "1-%";
+-------------------------------------------------------+----------------+
| accountEmail                                          | content        |
+-------------------------------------------------------+----------------+
| Donec.vitae@Phasellusornare.org                       | 1-830-179-3094 |
| sit.amet.metus@orcilacus.net                          | 1-494-804-9234 |
| sit.amet.metus@orcilacus.net                          | 1-106-460-0125 |
| sit.amet.metus@orcilacus.net                          | 1-667-593-2501 |
| sit.amet.metus@orcilacus.net                          | 1-506-139-6333 |
| sit.amet.metus@orcilacus.net                          | 1-296-113-0411 |
| sit.amet.metus@orcilacus.net                          | 1-327-293-1102 |
| ipsum.Donec@tellus.ca                                 | 1-257-867-0566 |
| ipsum.Donec@tellus.ca                                 | 1-229-198-6716 |
| ipsum.Donec@tellus.ca                                 | 1-973-318-1236 |
| ipsum.Donec@tellus.ca                                 | 1-432-441-4780 |
| Quisque@Donec.net                                     | 1-581-724-8616 |
| Quisque@Donec.net                                     | 1-923-788-5890 |
| Quisque@Donec.net                                     | 1-107-768-7113 |
| nulla.vulputate@Nullamscelerisque.co.uk               | 1-941-735-6014 |
| nulla.vulputate@Nullamscelerisque.co.uk               | 1-375-412-4731 |
| est.ac@etmalesuadafames.ca                            | 1-213-934-5487 |
| est.ac@etmalesuadafames.ca                            | 1-603-791-2262 |
| est.ac@etmalesuadafames.ca                            | 1-712-100-6444 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-164-741-1817 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-199-864-5100 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-995-852-9235 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-113-843-6724 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-863-368-2937 |
| Suspendisse.non@nullavulputatedui.ca                  | 1-395-184-0701 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-587-303-6203 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-664-727-1636 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-563-661-4084 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-928-234-9600 |
| quam.dignissim.pharetra@sed.co.uk                     | 1-876-198-9851 |
| non@eget.com                                          | 1-433-115-6363 |
| non@eget.com                                          | 1-447-297-5925 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-200-560-7225 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-519-116-5208 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-809-132-6405 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-338-174-4888 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-407-967-5039 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-885-383-3316 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-303-638-4150 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-336-193-1111 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-824-853-9469 |
| Vivamus.euismod.urna@anteNunc.net                     | 1-202-236-4469 |
| egestas.Fusce.aliquet@nec.edu                         | 1-826-300-6188 |
| egestas.Fusce.aliquet@nec.edu                         | 1-912-715-0333 |
| egestas.Fusce.aliquet@nec.edu                         | 1-751-745-1818 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-856-300-4636 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-693-568-4932 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-768-851-8916 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-844-168-7125 |
| ultricies.adipiscing@cursusluctusipsum.co.uk          | 1-337-678-4326 |
| diam.luctus.lobortis@ipsumac.ca                       | 1-217-683-0322 |
